Date,Description,Amount
2024-01-01,Monthly Salary,50000
2024-01-02,Rent Payment,-4500
2024-01-03,Electricity Bill,-180
2024-01-03,Internet Bill,-85
2024-01-04,Uber Ride,-32
2024-01-04,Starbucks Coffee,-12
2024-01-05,McDonald's,-18
2024-01-05,Amazon Order,-145
2024-01-06,Netflix,-15.99
2024-01-06,Spotify,-9.99
2024-01-07,Grocery Store,-220
2024-01-08,Uber Ride,-28
2024-01-08,Pizza Restaurant,-45
2024-01-09,H&M Clothing,-120
2024-01-10,Phone Bill,-65
2024-01-10,Doctor Visit,-150
2024-01-11,Pharmacy,-45
2024-01-12,Grocery Store,-185
2024-01-13,Uber Ride,-22
2024-01-13,Coffee Shop,-14
2024-01-14,Nike Shoes,-189
2024-01-15,Amazon Order,-89
2024-01-16,Restaurant Dinner,-78
2024-01-17,Grocery Store,-210
2024-01-18,Cinema Tickets,-36
2024-01-19,Uber Ride,-41
2024-01-20,Water Bill,-55
2024-01-21,Zara Clothing,-230
2024-01-22,Grocery Store,-195
2024-01-23,Coffee Shop,-11
2024-01-24,Amazon Order,-320
2024-01-25,Restaurant Lunch,-52
2024-01-26,Uber Ride,-19
2024-01-27,Pharmacy,-38
2024-01-28,Grocery Store,-175
2024-01-29,YouTube Premium,-13.99
2024-01-30,Gas Station,-95
2024-01-31,Freelance Bonus Income,8000
2024-02-01,Monthly Salary,50000
2024-02-02,Rent Payment,-4500
2024-02-03,Electricity Bill,-165
2024-02-03,Internet Bill,-85
2024-02-04,Uber Ride,-25
2024-02-04,Starbucks Coffee,-13
2024-02-05,Burger King,-22
2024-02-05,Amazon Order,-265
2024-02-06,Netflix,-15.99
2024-02-06,Spotify,-9.99
2024-02-07,Grocery Store,-240
2024-02-08,Uber Ride,-31
2024-02-08,Italian Restaurant,-88
2024-02-09,H&M Clothing,-145
2024-02-10,Phone Bill,-65
2024-02-11,Gym Membership,-80
2024-02-12,Grocery Store,-198
2024-02-13,Uber Ride,-27
2024-02-13,Coffee Shop,-15
2024-02-14,Valentine Dinner,-180
2024-02-14,Flower Shop,-65
2024-02-15,Amazon Order,-112
2024-02-16,Restaurant Dinner,-95
2024-02-17,Grocery Store,-225
2024-02-18,Cinema Tickets,-42
2024-02-19,Uber Ride,-38
2024-02-20,Water Bill,-55
2024-02-21,Adidas Clothing,-175
2024-02-22,Grocery Store,-188
2024-02-23,Coffee Shop,-12
2024-02-24,Amazon Order,-445
2024-02-25,Restaurant Lunch,-58
2024-02-26,Uber Ride,-24
2024-02-27,Pharmacy,-52
2024-02-28,Grocery Store,-205
2024-02-29,Gas Station,-88
2024-03-01,Monthly Salary,50000
2024-03-01,Investment Dividend,2500
2024-03-02,Rent Payment,-4500
2024-03-03,Electricity Bill,-155
2024-03-03,Internet Bill,-85
2024-03-04,Uber Ride,-29
2024-03-04,Starbucks Coffee,-14
2024-03-05,KFC,-24
2024-03-05,Amazon Order,-178
2024-03-06,Netflix,-15.99
2024-03-06,Spotify,-9.99
2024-03-07,Grocery Store,-232
2024-03-08,Flight Ticket,-420
2024-03-09,Hotel Booking,-380
2024-03-10,Phone Bill,-65
2024-03-10,Doctor Visit,-200
2024-03-11,Pharmacy,-62
2024-03-12,Grocery Store,-215
2024-03-13,Uber Ride,-35
